sample,label,total_reads,pathogen_reads,ratio,log_ratio,density,multi_map_ratio,genome_coverage,mean_depth
SRR6058497,scrub_typhus,76340,4355,0.057047,10.9517,57047.4194,0.9979,0.2989,0.1292
SRR6058498,scrub_typhus,32482,1133,0.034881,10.4597,34880.8571,1.0,0.2571,0.0336
SRR6058499,scrub_typhus,58587,2758,0.047075,10.7595,47075.2897,1.0,0.2851,0.0818
SRR6058500,scrub_typhus,27743,442,0.015932,9.6761,15931.9468,1.0,0.2259,0.0131
SRR6058501,scrub_typhus,32940,917,0.027838,10.2342,27838.4942,1.0,0.2583,0.0272
SRR6058502,scrub_typhus,14901,174,0.011677,9.3655,11677.0687,1.0,0.1755,0.0052
SRR6058490,scrub_typhus,22386,221,0.009872,9.1976,9872.2416,1.0,0.183,0.0065
SRR6058491,scrub_typhus,21926,165,0.007525,8.9262,7525.3124,1.0,0.1808,0.0049
SRR6058492,scrub_typhus,45435,392,0.008628,9.0629,8627.7099,1.0,0.1593,0.0116
SRR6058493,scrub_typhus,70812,1652,0.023329,10.0575,23329.3792,1.0,0.26,0.049
SRR6058496,scrub_typhus,147572,1588,0.010761,9.2838,10760.8489,1.0,0.2621,0.047
SRR6058503,convalescent,108836,1758,0.016153,9.6899,16152.7436,0.9994,0.2672,0.052
SRR6784671,convalescent,70338,75,0.001066,6.9729,1066.28,1.0,0.1019,0.0033
SRR17752566,healthy,50000,0,0.0,0.0,0.0,0.0,0.0,0.0
SRR17752567,healthy,50000,0,0.0,0.0,0.0,0.0,0.0,0.0
SRR17752568,healthy,50000,0,0.0,0.0,0.0,0.0,0.0,0.0
SRR10448859,malaria,471309,0,0.0,0.0,0.0,0.0,0.0,0.0
SRR10448861,malaria,2536982,0,0.0,0.0,0.0,0.0,0.0,0.0
SRR27828981,dengue,49902,5,0.0001,4.6171,100.1964,1.0,0.0168,0.0002
